,open,high,low,close,volume,&-s_close,&-s_close_mean,&-s_close_std,target_roi,do_predict,%%-tenkan_sen,%%-kijun_sen,%%-senkou_a,%%-senkou_b,%%-cloud_green,%%-cloud_red,%%-trend_close_period_1,%%-trend_open_period_1,%%-trend_close_period_3,%%-trend_open_period_3,%%-trend_close_period_6,%%-trend_open_period_6,%%-trend_close_period_12,%%-trend_open_period_12,%%-trend_close_period_24,%%-trend_open_period_24,%%-trend_close_period_48,%%-trend_open_period_48,%%-trend_close_period_72,%%-trend_open_period_72,%%-trend_close_period_96,%%-trend_open_period_96,%%-fan_magnitude,%%-fan_magnitude_gain,enter_long,enter_short,exit_long,exit_short
85501,113466.9239708214,113490.4,113446.2,113479.3,116.446,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113393.85,113501.6,113505.9,113170.95000000001,True,False,113479.3,113466.9239708214,113470.80111707246,113476.50166667566,113471.55651292508,113472.97478606958,113467.8904096613,113465.32088051159,113476.41086088633,113476.47919357174,113482.57143552769,113482.77489635942,113442.64489263506,113439.83466183669,113379.56555235221,113374.14363973051,1.0007790191899113,0.9999997634768112,0,0,1,0
85502,113466.2244854107,113529.6,113466.2244854107,113520.8,158.513,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113393.85,113556.45000000001,113493.875,113170.95000000001,True,False,113520.8,113466.2244854107,113495.80055853623,113471.36307604317,113485.62608066078,113471.04612873847,113476.03034663649,113465.45989664992,113479.96199201542,113475.65881691885,113484.13178509798,113482.09936938192,113444.78612845327,113440.55767070173,113382.47760281918,113376.04221386825,1.0008251075985923,1.0000460525328743,0,0,1,0
85503,113484.22474270535,113520.3,113449.4,113466.0,56.504,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113393.85,113563.25,113493.875,113171.70000000001,True,False,113466.0,113484.22474270535,113480.90027926811,113477.79390937426,113480.0186290434,113474.81144701473,113474.48721638472,113468.34679604306,113478.8450326542,113476.34409098177,113483.39171223684,113482.18611931348,113445.36733041346,113441.75402883881,113384.19971410127,113378.27278147313,1.000796297037075,0.9999712131906977,0,0,1,0
85504,113486.61237135268,113510.0,113466.0,113509.9,46.883,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113393.85,113563.25,113498.90000000001,113171.70000000001,True,False,113509.9,113486.61237135268,113495.40013963406,113482.20314036348,113488.55616360244,113478.18313968272,113479.93533694091,113471.15688455223,113481.32943004186,113477.16555341144,113484.47368316595,113482.36678266202,113447.1353487583,113442.98302452412,113386.7914725734,113380.50658745003,1.0008214701479585,1.0000251530815591,0,0,1,0
85505,113487.29368567634,113522.8,113487.29368567634,113522.6,58.608,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113435.22543789483,113563.25,113528.10637942859,113171.8,True,False,113522.6,113487.29368567634,113509.00006981703,113484.7484130199,113498.28297400175,113480.78615282376,113486.49913125769,113473.63946934055,113484.63107563852,113477.97580399264,113486.02985936326,113482.56788074425,113449.20287344985,113444.19701524061,113389.59164839663,113382.70838328975,1.0008546417837147,1.000033144408614,0,0,1,0
85506,113501.80934283815,113522.7,113452.3,113452.3,42.151,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113443.4,113563.25,113538.39068971429,113171.8,True,False,113452.3,113501.80934283815,113480.65003490853,113493.27887792903,113485.14498142982,113486.79277854215,113481.23772644882,113477.97329603249,113482.04458958744,113479.88248710027,113484.65313040966,113483.353246544,113449.28772623204,113445.77543517479,113390.88460409979,113385.16407317734,1.0007968287985802,0.9999422363820669,0,0,1,0
85507,113494.64217141908,113494.64217141908,113424.4,113424.5,99.085,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113447.9,113563.25,113543.925,113193.96467297911,True,False,113424.5,113494.64217141908,113452.57501745426,113493.96052467405,113467.81784387845,113489.03546222128,113472.50884545669,113480.53773839965,113477.44102242045,113481.06326184577,113482.19790059702,113483.81401898788,113448.60861044486,113447.11424986641,113391.57770504619,113387.42135355345,1.0007137314961876,0.9999169688592116,0,0,1,0
85508,113466.52108570954,113466.52108570954,113275.2,113279.9,450.516,0.00036808642,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113416.1,113563.25,113543.925,113194.95000000001,True,False,113279.9,113466.52108570954,113366.23750872712,113480.2408051918,113414.12703134175,113482.60278321792,113442.87671538643,113478.38133029349,113461.63774062681,113479.89988775487,113473.9408434298,113483.10818497652,113443.98645673404,113447.6459439991,113389.27507195245,113389.05227586595,1.0004727223399212,0.9997591627368738,0,0,1,0
85509,113409.46054285477,113455.2,113279.9,113455.2,164.978,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113416.1,113563.25,113526.42489439415,113197.5,True,False,113455.2,113409.46054285477,113410.71875436357,113444.85067402328,113425.8621652441,113461.70500025702,113444.77260532699,113467.778132226,113461.12272137667,113474.26474016286,113473.1759110449,113480.10215876746,113444.29367709749,113446.59976862528,113390.63434881941,113389.47306487603,1.0004774491016695,1.000004724528358,0,0,1,0
85510,113388.50527142739,113480.0,113388.50527142739,113479.9,41.4,0.0003679222,6.598255644108439e-05,0.002789804988448173,0.001460885050665171,1.0,113416.1,113563.25,113533.11816810715,113214.19402162239,True,False,113479.9,113388.50527142739,113445.30937718178,113416.67797272533,113441.30154660293,113440.79079201998,113450.17681989206,113455.58230748776,113462.62490366654,113467.40398266402,113473.45036365531,113476.3635103046,113445.26919279345,113445.00813856507,113392.47487770973,113389.45311037193,1.0005088692370863,1.0000314051410604,0,0,1,0
